positionid,vehicleid,timeposition,latitude,longitude,altitude,speed,heading,vehiclestopped,timesave,internalnumber
1043,1,2024-03-29 13:23:21,59.2442882,18.1896001,67,54,118,0,2024-03-29 13:23:21,43
1044,1,2024-03-30 13:23:21,59.3582519,18.0865936,49,6,203,0,2024-03-30 13:23:21,44
1045,1,2024-03-31 13:23:21,59.2606648,17.8994325,55,71,137,0,2024-03-31 13:23:21,45
1046,1,2024-04-01 13:23:21,59.2958759,18.0695,49,0,240,1,2024-04-01 13:23:21,46
1047,1,2024-04-02 13:23:21,59.3038729,18.1246976,36,13,189,0,2024-04-02 13:23:21,47
1048,1,2024-04-03 13:23:21,59.2320981,18.1601,47,34,283,0,2024-04-03 13:23:21,48
1049,1,2024-04-04 13:23:21,59.3076837,18.0769216,47,0,266,1,2024-04-04 13:23:21,49
1050,1,2024-04-05 13:23:21,59.3174227,17.7542441,38,47,136,0,2024-04-05 13:23:21,50
1051,1,2024-04-06 13:23:21,59.1998201,17.7898199,46,60,325,0,2024-04-06 13:23:21,51
1052,1,2024-04-07 13:23:21,59.2737691,18.0750589,47,70,46,0,2024-04-07 13:23:21,52
1053,1,2024-04-08 13:23:21,59.3106353,18.1599939,36,0,121,1,2024-04-08 13:23:21,53
1054,1,2024-04-09 13:23:21,59.3527134,18.1992479,64,77,107,0,2024-04-09 13:23:21,54
1055,1,2024-04-10 13:23:21,59.3382362,18.1030716,33,55,351,0,2024-04-10 13:23:21,55
1056,1,2024-04-11 13:23:21,59.3487677,18.0624861,49,0,241,1,2024-04-11 13:23:21,56
1057,1,2024-04-12 13:23:21,59.2943029,18.1095162,29,0,153,1,2024-04-12 13:23:21,57
1058,1,2024-04-13 13:23:21,59.2358865,18.1365155,28,4,140,0,2024-04-13 13:23:21,58
1059,1,2024-04-14 13:23:21,59.3600891,18.1207173,29,74,291,0,2024-04-14 13:23:21,59
1060,1,2024-04-15 13:23:21,59.2273441,18.0856541,58,22,82,0,2024-04-15 13:23:21,60
1061,1,2024-04-16 13:23:21,59.2123179,18.08354,47,112,283,0,2024-04-16 13:23:21,61
1062,1,2024-04-17 13:23:21,59.3637246,18.1227706,58,0,250,1,2024-04-17 13:23:21,62
1063,1,2024-04-18 13:23:21,59.3120361,18.218179,30,9,163,0,2024-04-18 13:23:21,63
1064,1,2024-04-19 13:23:21,59.2033108,18.0678718,68,43,54,0,2024-04-19 13:23:21,64
1065,1,2024-04-20 13:23:21,59.2886374,17.9540539,45,104,228,0,2024-04-20 13:23:21,65
1066,1,2024-04-21 13:23:21,59.2124455,17.9014228,65,77,102,0,2024-04-21 13:23:21,66
1067,1,2024-04-22 13:23:21,59.2142201,17.8298216,36,44,81,0,2024-04-22 13:23:21,67
1068,1,2024-04-23 13:23:21,59.3145657,18.0909227,60,15,336,0,2024-04-23 13:23:21,68
1069,1,2024-04-24 13:23:21,59.2031265,18.21587,39,13,49,0,2024-04-24 13:23:21,69
1070,1,2024-04-25 13:23:21,59.2328969,17.8564076,41,77,2,0,2024-04-25 13:23:21,70
1071,1,2024-04-26 13:23:21,59.3380075,17.9375822,45,29,74,0,2024-04-26 13:23:21,71
1072,1,2024-04-27 13:23:21,59.3061919,18.1094661,63,0,102,1,2024-04-27 13:23:21,72
1073,1,2024-04-28 13:23:21,59.2768206,17.904908,29,0,124,1,2024-04-28 13:23:21,73
1074,1,2024-04-29 13:23:21,59.3722131,18.0129414,58,81,17,0,2024-04-29 13:23:21,74
1075,1,2024-04-30 13:23:21,59.3316521,18.0845643,47,0,215,1,2024-04-30 13:23:21,75
1076,1,2024-05-01 13:23:21,59.2748804,18.0603286,69,117,310,0,2024-05-01 13:23:21,76
1077,1,2024-05-02 13:23:21,59.3580033,18.0202839,39,42,286,0,2024-05-02 13:23:21,77
1078,1,2024-05-03 13:23:21,59.2280895,18.2714393,51,0,67,1,2024-05-03 13:23:21,78
1079,1,2024-05-04 13:23:21,59.3686176,18.1323676,40,0,180,1,2024-05-04 13:23:21,79
1080,1,2024-05-05 13:23:21,59.2074113,17.761203,70,98,157,0,2024-05-05 13:23:21,80
1081,1,2024-05-06 13:23:21,59.3441419,18.0353285,44,40,314,0,2024-05-06 13:23:21,81
1082,1,2024-05-07 13:23:21,59.3529618,18.0658622,48,0,145,1,2024-05-07 13:23:21,82
1083,1,2024-05-08 13:23:21,59.2753526,17.9038507,54,71,193,0,2024-05-08 13:23:21,83
1084,1,2024-05-09 13:23:21,59.3345068,18.0126633,48,50,43,0,2024-05-09 13:23:21,84
1085,1,2024-05-10 13:23:21,59.2595014,18.1843998,70,26,292,0,2024-05-10 13:23:21,85
1086,1,2024-05-11 13:23:21,59.2712665,17.994918,29,64,278,0,2024-05-11 13:23:21,86
1087,1,2024-05-12 13:23:21,59.273143,17.9223183,33,72,262,0,2024-05-12 13:23:21,87
1088,1,2024-05-13 13:23:21,59.3798536,18.1839215,69,0,114,1,2024-05-13 13:23:21,88
1089,1,2024-05-14 13:23:21,59.3554683,18.295843,31,38,258,0,2024-05-14 13:23:21,89
1090,1,2024-05-15 13:23:21,59.2986176,18.0590611,39,72,19,0,2024-05-15 13:23:21,90
2001,2,2024-02-16 13:23:21,59.289175,17.9367396,49,110,233,0,2024-02-16 13:23:21,1
2002,2,2024-02-17 13:23:21,59.3066887,18.1244466,69,51,219,0,2024-02-17 13:23:21,2
2003,2,2024-02-18 13:23:21,59.2746804,18.0814805,60,24,159,0,2024-02-18 13:23:21,3
2004,2,2024-02-19 13:23:21,59.3592407,18.076503,28,28,288,0,2024-02-19 13:23:21,4
2005,2,2024-02-20 13:23:21,59.3566943,18.0563726,30,10,148,0,2024-02-20 13:23:21,5
2006,2,2024-02-21 13:23:21,59.3570775,18.282496,46,19,39,0,2024-02-21 13:23:21,6
2007,2,2024-02-22 13:23:21,59.3015017,18.053453,68,80,296,0,2024-02-22 13:23:21,7
2008,2,2024-02-23 13:23:21,59.2667228,18.1428359,44,0,285,1,2024-02-23 13:23:21,8
2009,2,2024-02-24 13:23:21,59.3854312,18.0612522,38,99,310,0,2024-02-24 13:23:21,9
2010,2,2024-02-25 13:23:21,59.3466203,18.1558804,42,58,355,0,2024-02-25 13:23:21,10
2011,2,2024-02-26 13:23:21,59.2310836,18.2186066,52,45,249,0,2024-02-26 13:23:21,11
2012,2,2024-02-27 13:23:21,59.2675661,18.0086801,45,69,72,0,2024-02-27 13:23:21,12
2013,2,2024-02-28 13:23:21,59.3292591,17.9193346,45,119,262,0,2024-02-28 13:23:21,13
2014,2,2024-02-29 13:23:21,59.3851009,17.9378087,67,117,182,0,2024-02-29 13:23:21,14
2015,2,2024-03-01 13:23:21,59.1949492,18.0919467,42,88,63,0,2024-03-01 13:23:21,15
2016,2,2024-03-02 13:23:21,59.3447748,18.034811,48,21,0,0,2024-03-02 13:23:21,16
2017,2,2024-03-03 13:23:21,59.204767,17.6627696,55,75,59,0,2024-03-03 13:23:21,17
2018,2,2024-03-04 13:23:21,59.3306739,18.0333361,67,68,136,0,2024-03-04 13:23:21,18
2019,2,2024-03-05 13:23:21,59.2857709,17.9108296,64,91,322,0,2024-03-05 13:23:21,19
2020,2,2024-03-06 13:23:21,59.37235,17.9799779,39,0,238,1,2024-03-06 13:23:21,20
2021,2,2024-03-07 13:23:21,59.3395881,18.0381471,35,0,255,1,2024-03-07 13:23:21,21
2022,2,2024-03-08 13:23:21,59.3393488,18.0982173,46,69,34,0,2024-03-08 13:23:21,22
2023,2,2024-03-09 13:23:21,59.2410353,18.1818729,52,83,316,0,2024-03-09 13:23:21,23
2024,2,2024-03-10 13:23:21,59.2542746,18.1814056,54,0,110,1,2024-03-10 13:23:21,24
2025,2,2024-03-11 13:23:21,59.3281863,18.0467903,58,0,173,1,2024-03-11 13:23:21,25
2026,2,2024-03-12 13:23:21,59.3626604,17.9636942,49,77,257,0,2024-03-12 13:23:21,26
2027,2,2024-03-13 13:23:21,59.3098591,18.0710491,56,87,133,0,2024-03-13 13:23:21,27
2028,2,2024-03-14 13:23:21,59.3080988,17.9604139,32,75,326,0,2024-03-14 13:23:21,28
2029,2,2024-03-15 13:23:21,59.3380561,18.099298,34,0,254,1,2024-03-15 13:23:21,29
2030,2,2024-03-16 13:23:21,59.2001274,17.7817374,51,55,218,0,2024-03-16 13:23:21,30
2031,2,2024-03-17 13:23:21,59.2594383,17.8590638,29,57,351,0,2024-03-17 13:23:21,31
2032,2,2024-03-18 13:23:21,59.2943643,17.998543,44,118,227,0,2024-03-18 13:23:21,32
2033,2,2024-03-19 13:23:21,59.2558746,18.0286756,69,0,237,1,2024-03-19 13:23:21,33
2034,2,2024-03-20 13:23:21,59.3462493,18.0761693,37,6,142,0,2024-03-20 13:23:21,34
2035,2,2024-03-21 13:23:21,59.3645927,18.1347333,36,17,72,0,2024-03-21 13:23:21,35
2036,2,2024-03-22 13:23:21,59.2933861,17.9709154,52,36,100,0,2024-03-22 13:23:21,36
2037,2,2024-03-23 13:23:21,59.2575484,18.0202058,47,37,190,0,2024-03-23 13:23:21,37
2038,2,2024-03-24 13:23:21,59.3595135,18.095775,38,83,118,0,2024-03-24 13:23:21,38
2039,2,2024-03-25 13:23:21,59.333033,18.0919851,33,66,302,0,2024-03-25 13:23:21,39
2040,2,2024-03-26 13:23:21,59.3143287,18.0341921,34,104,261,0,2024-03-26 13:23:21,40
2041,2,2024-03-27 13:23:21,59.2159281,18.1490218,40,73,151,0,2024-03-27 13:23:21,41
2042,2,2024-03-28 13:23:21,59.2442882,18.1896001,69,65,222,0,2024-03-28 13:23:21,42
2043,2,2024-03-29 13:23:21,59.3582519,18.0865936,42,63,296,0,2024-03-29 13:23:21,43
2044,2,2024-03-30 13:23:21,59.2606648,17.8994325,68,25,305,0,2024-03-30 13:23:21,44
2045,2,2024-03-31 13:23:21,59.2958759,18.0695,54,79,96,0,2024-03-31 13:23:21,45
2046,2,2024-04-01 13:23:21,59.3038729,18.1246976,31,55,19,0,2024-04-01 13:23:21,46
2047,2,2024-04-02 13:23:21,59.2320981,18.1601,39,77,139,0,2024-04-02 13:23:21,47
2048,2,2024-04-03 13:23:21,59.3076837,18.0769216,67,32,301,0,2024-04-03 13:23:21,48
2049,2,2024-04-04 13:23:21,59.3174227,17.7542441,52,26,117,0,2024-04-04 13:23:21,49
2050,2,2024-04-05 13:23:21,59.1998201,17.7898199,57,0,311,1,2024-04-05 13:23:21,50
2051,2,2024-04-06 13:23:21,59.2737691,18.0750589,43,90,234,0,2024-04-06 13:23:21,51
2052,2,2024-04-07 13:23:21,59.3106353,18.1599939,52,95,80,0,2024-04-07 13:23:21,52
2053,2,2024-04-08 13:23:21,59.3527134,18.1992479,49,0,48,1,2024-04-08 13:23:21,53
2054,2,2024-04-09 13:23:21,59.3382362,18.1030716,64,81,15,0,2024-04-09 13:23:21,54
2055,2,2024-04-10 13:23:21,59.3487677,18.0624861,59,68,164,0,2024-04-10 13:23:21,55
2056,2,2024-04-11 13:23:21,59.2943029,18.1095162,42,5,182,0,2024-04-11 13:23:21,56
2057,2,2024-04-12 13:23:21,59.2358865,18.1365155,45,70,18,0,2024-04-12 13:23:21,57
2058,2,2024-04-13 13:23:21,59.3600891,18.1207173,34,3,162,0,2024-04-13 13:23:21,58
2059,2,2024-04-14 13:23:21,59.2273441,18.0856541,57,54,350,0,2024-04-14 13:23:21,59
2060,2,2024-04-15 13:23:21,59.2123179,18.08354,43,56,101,0,2024-04-15 13:23:21,60
2061,2,2024-04-16 13:23:21,59.3637246,18.1227706,41,8,30,0,2024-04-16 13:23:21,61
2062,2,2024-04-17 13:23:21,59.3120361,18.218179,30,83,36,0,2024-04-17 13:23:21,62
2063,2,2024-04-18 13:23:21,59.2033108,18.0678718,51,12,98,0,2024-04-18 13:23:21,63
2064,2,2024-04-19 13:23:21,59.2886374,17.9540539,70,115,44,0,2024-04-19 13:23:21,64
2065,2,2024-04-20 13:23:21,59.2124455,17.9014228,68,28,126,0,2024-04-20 13:23:21,65
2066,2,2024-04-21 13:23:21,59.2142201,17.8298216,55,41,34,0,2024-04-21 13:23:21,66
2067,2,2024-04-22 13:23:21,59.3145657,18.0909227,38,56,155,0,2024-04-22 13:23:21,67
2068,2,2024-04-23 13:23:21,59.2031265,18.21587,47,112,237,0,2024-04-23 13:23:21,68
2069,2,2024-04-24 13:23:21,59.2328969,17.8564076,30,119,319,0,2024-04-24 13:23:21,69
2070,2,2024-04-25 13:23:21,59.3380075,17.9375822,50,41,313,0,2024-04-25 13:23:21,70
2071,2,2024-04-26 13:23:21,59.3061919,18.1094661,46,38,64,0,2024-04-26 13:23:21,71
2072,2,2024-04-27 13:23:21,59.2768206,17.904908,38,0,307,1,2024-04-27 13:23:21,72
2073,2,2024-04-28 13:23:21,59.3722131,18.0129414,45,45,100,0,2024-04-28 13:23:21,73
2074,2,2024-04-29 13:23:21,59.3316521,18.0845643,36,14,230,0,2024-04-29 13:23:21,74
2075,2,2024-04-30 13:23:21,59.2748804,18.0603286,38,16,250,0,2024-04-30 13:23:21,75
2076,2,2024-05-01 13:23:21,59.3580033,18.0202839,50,45,328,0,2024-05-01 13:23:21,76
2077,2,2024-05-02 13:23:21,59.2280895,18.2714393,46,15,322,0,2024-05-02 13:23:21,77
2078,2,2024-05-03 13:23:21,59.3686176,18.1323676,68,0,170,1,2024-05-03 13:23:21,78
2079,2,2024-05-04 13:23:21,59.2074113,17.761203,28,88,327,0,2024-05-04 13:23:21,79
2080,2,2024-05-05 13:23:21,59.3441419,18.0353285,61,68,259,0,2024-05-05 13:23:21,80
2081,2,2024-05-06 13:23:21,59.3529618,18.0658622,32,0,344,1,2024-05-06 13:23:21,81
2082,2,2024-05-07 13:23:21,59.2753526,17.9038507,63,58,116,0,2024-05-07 13:23:21,82
2083,2,2024-05-08 13:23:21,59.3345068,18.0126633,58,68,58,0,2024-05-08 13:23:21,83
2084,2,2024-05-09 13:23:21,59.2595014,18.1843998,54,113,132,0,2024-05-09 13:23:21,84
2085,2,2024-05-10 13:23:21,59.2712665,17.994918,51,116,31,0,2024-05-10 13:23:21,85
2086,2,2024-05-11 13:23:21,59.273143,17.9223183,40,73,321,0,2024-05-11 13:23:21,86
2087,2,2024-05-12 13:23:21,59.3798536,18.1839215,69,45,25,0,2024-05-12 13:23:21,87
2088,2,2024-05-13 13:23:21,59.3554683,18.295843,43,105,147,0,2024-05-13 13:23:21,88
2089,2,2024-05-14 13:23:21,59.2986176,18.0590611,47,0,122,1,2024-05-14 13:23:21,89
2090,2,2024-05-15 13:23:21,59.3491987,18.0611926,51,51,346,0,2024-05-15 13:23:21,90
3001,3,2024-02-16 13:23:21,59.3066887,18.1244466,56,59,230,0,2024-02-16 13:23:21,1
3002,3,2024-02-17 13:23:21,59.2746804,18.0814805,50,76,257,0,2024-02-17 13:23:21,2
3003,3,2024-02-18 13:23:21,59.3592407,18.076503,49,1,38,0,2024-02-18 13:23:21,3
3004,3,2024-02-19 13:23:21,59.3566943,18.0563726,64,93,103,0,2024-02-19 13:23:21,4
3005,3,2024-02-20 13:23:21,59.3570775,18.282496,69,39,138,0,2024-02-20 13:23:21,5
3006,3,2024-02-21 13:23:21,59.3015017,18.053453,49,43,297,0,2024-02-21 13:23:21,6
3007,3,2024-02-22 13:23:21,59.2667228,18.1428359,53,105,121,0,2024-02-22 13:23:21,7
3008,3,2024-02-23 13:23:21,59.3854312,18.0612522,53,0,145,1,2024-02-23 13:23:21,8
3009,3,2024-02-24 13:23:21,59.3466203,18.1558804,53,13,176,0,2024-02-24 13:23:21,9
3010,3,2024-02-25 13:23:21,59.2310836,18.2186066,48,45,52,0,2024-02-25 13:23:21,10
3011,3,2024-02-26 13:23:21,59.2675661,18.0086801,48,0,13,1,2024-02-26 13:23:21,11
3012,3,2024-02-27 13:23:21,59.3292591,17.9193346,30,2,41,0,2024-02-27 13:23:21,12
3013,3,2024-02-28 13:23:21,59.3851009,17.9378087,49,33,101,0,2024-02-28 13:23:21,13
3014,3,2024-02-29 13:23:21,59.1949492,18.0919467,54,0,109,1,2024-02-29 13:23:21,14
3015,3,2024-03-01 13:23:21,59.3447748,18.034811,52,79,330,0,2024-03-01 13:23:21,15
3016,3,2024-03-02 13:23:21,59.204767,17.6627696,56,24,155,0,2024-03-02 13:23:21,16
3017,3,2024-03-03 13:23:21,59.3306739,18.0333361,50,85,279,0,2024-03-03 13:23:21,17
3018,3,2024-03-04 13:23:21,59.2857709,17.9108296,59,53,173,0,2024-03-04 13:23:21,18
3019,3,2024-03-05 13:23:21,59.37235,17.9799779,67,83,336,0,2024-03-05 13:23:21,19
3020,3,2024-03-06 13:23:21,59.3395881,18.0381471,69,17,123,0,2024-03-06 13:23:21,20
3021,3,2024-03-07 13:23:21,59.3393488,18.0982173,43,112,98,0,2024-03-07 13:23:21,21
3022,3,2024-03-08 13:23:21,59.2410353,18.1818729,68,41,206,0,2024-03-08 13:23:21,22
3023,3,2024-03-09 13:23:21,59.2542746,18.1814056,55,0,160,1,2024-03-09 13:23:21,23
3024,3,2024-03-10 13:23:21,59.3281863,18.0467903,66,70,174,0,2024-03-10 13:23:21,24
3025,3,2024-03-11 13:23:21,59.3626604,17.9636942,44,51,137,0,2024-03-11 13:23:21,25
3026,3,2024-03-12 13:23:21,59.3098591,18.0710491,41,0,191,1,2024-03-12 13:23:21,26
3027,3,2024-03-13 13:23:21,59.3080988,17.9604139,63,50,94,0,2024-03-13 13:23:21,27
3028,3,2024-03-14 13:23:21,59.3380561,18.099298,50,100,104,0,2024-03-14 13:23:21,28
3029,3,2024-03-15 13:23:21,59.2001274,17.7817374,29,109,71,0,2024-03-15 13:23:21,29
3030,3,2024-03-16 13:23:21,59.2594383,17.8590638,36,55,142,0,2024-03-16 13:23:21,30
3031,3,2024-03-17 13:23:21,59.2943643,17.998543,60,53,293,0,2024-03-17 13:23:21,31
3032,3,2024-03-18 13:23:21,59.2558746,18.0286756,28,112,103,0,2024-03-18 13:23:21,32
3033,3,2024-03-19 13:23:21,59.3462493,18.0761693,63,49,173,0,2024-03-19 13:23:21,33
3034,3,2024-03-20 13:23:21,59.3645927,18.1347333,42,102,202,0,2024-03-20 13:23:21,34
3035,3,2024-03-21 13:23:21,59.2933861,17.9709154,55,65,325,0,2024-03-21 13:23:21,35
3036,3,2024-03-22 13:23:21,59.2575484,18.0202058,46,28,153,0,2024-03-22 13:23:21,36
3037,3,2024-03-23 13:23:21,59.3595135,18.095775,32,90,308,0,2024-03-23 13:23:21,37
3038,3,2024-03-24 13:23:21,59.333033,18.0919851,52,35,130,0,2024-03-24 13:23:21,38
3039,3,2024-03-25 13:23:21,59.3143287,18.0341921,62,44,84,0,2024-03-25 13:23:21,39
3040,3,2024-03-26 13:23:21,59.2159281,18.1490218,65,112,83,0,2024-03-26 13:23:21,40
3041,3,2024-03-27 13:23:21,59.2442882,18.1896001,41,43,230,0,2024-03-27 13:23:21,41
3042,3,2024-03-28 13:23:21,59.3582519,18.0865936,52,0,108,1,2024-03-28 13:23:21,42
3043,3,2024-03-29 13:23:21,59.2606648,17.8994325,39,7,92,0,2024-03-29 13:23:21,43
3044,3,2024-03-30 13:23:21,59.2958759,18.0695,51,67,161,0,2024-03-30 13:23:21,44
3045,3,2024-03-31 13:23:21,59.3038729,18.1246976,56,96,3,0,2024-03-31 13:23:21,45
3046,3,2024-04-01 13:23:21,59.2320981,18.1601,54,110,144,0,2024-04-01 13:23:21,46
3047,3,2024-04-02 13:23:21,59.3076837,18.0769216,66,67,212,0,2024-04-02 13:23:21,47
3048,3,2024-04-03 13:23:21,59.3174227,17.7542441,52,61,174,0,2024-04-03 13:23:21,48
3049,3,2024-04-04 13:23:21,59.1998201,17.7898199,53,83,258,0,2024-04-04 13:23:21,49
3050,3,2024-04-05 13:23:21,59.2737691,18.0750589,58,113,223,0,2024-04-05 13:23:21,50
3051,3,2024-04-06 13:23:21,59.3106353,18.1599939,44,48,271,0,2024-04-06 13:23:21,51
3052,3,2024-04-07 13:23:21,59.3527134,18.1992479,45,116,9,0,2024-04-07 13:23:21,52
3053,3,2024-04-08 13:23:21,59.3382362,18.1030716,44,46,239,0,2024-04-08 13:23:21,53
3054,3,2024-04-09 13:23:21,59.3487677,18.0624861,61,45,83,0,2024-04-09 13:23:21,54
3055,3,2024-04-10 13:23:21,59.2943029,18.1095162,67,10,263,0,2024-04-10 13:23:21,55
3056,3,2024-04-11 13:23:21,59.2358865,18.1365155,70,8,24,0,2024-04-11 13:23:21,56
3057,3,2024-04-12 13:23:21,59.3600891,18.1207173,36,38,50,0,2024-04-12 13:23:21,57
3058,3,2024-04-13 13:23:21,59.2273441,18.0856541,52,0,81,1,2024-04-13 13:23:21,58
3059,3,2024-04-14 13:23:21,59.2123179,18.08354,49,68,103,0,2024-04-14 13:23:21,59
3060,3,2024-04-15 13:23:21,59.3637246,18.1227706,30,77,82,0,2024-04-15 13:23:21,60
3061,3,2024-04-16 13:23:21,59.3120361,18.218179,55,20,159,0,2024-04-16 13:23:21,61
3062,3,2024-04-17 13:23:21,59.2033108,18.0678718,37,78,122,0,2024-04-17 13:23:21,62
3063,3,2024-04-18 13:23:21,59.2886374,17.9540539,29,115,224,0,2024-04-18 13:23:21,63
3064,3,2024-04-19 13:23:21,59.2124455,17.9014228,51,55,59,0,2024-04-19 13:23:21,64
3065,3,2024-04-20 13:23:21,59.2142201,17.8298216,53,44,324,0,2024-04-20 13:23:21,65
3066,3,2024-04-21 13:23:21,59.3145657,18.0909227,33,50,329,0,2024-04-21 13:23:21,66
3067,3,2024-04-22 13:23:21,59.2031265,18.21587,52,57,219,0,2024-04-22 13:23:21,67
3068,3,2024-04-23 13:23:21,59.2328969,17.8564076,65,36,80,0,2024-04-23 13:23:21,68
3069,3,2024-04-24 13:23:21,59.3380075,17.9375822,63,23,15,0,2024-04-24 13:23:21,69
3070,3,2024-04-25 13:23:21,59.3061919,18.1094661,39,81,259,0,2024-04-25 13:23:21,70
3071,3,2024-04-26 13:23:21,59.2768206,17.904908,35,42,84,0,2024-04-26 13:23:21,71
3072,3,2024-04-27 13:23:21,59.3722131,18.0129414,61,92,104,0,2024-04-27 13:23:21,72
3073,3,2024-04-28 13:23:21,59.3316521,18.0845643,55,64,193,0,2024-04-28 13:23:21,73
3074,3,2024-04-29 13:23:21,59.2748804,18.0603286,38,114,305,0,2024-04-29 13:23:21,74
3075,3,2024-04-30 13:23:21,59.3580033,18.0202839,55,86,305,0,2024-04-30 13:23:21,75
3076,3,2024-05-01 13:23:21,59.2280895,18.2714393,62,73,97,0,2024-05-01 13:23:21,76
3077,3,2024-05-02 13:23:21,59.3686176,18.1323676,58,59,218,0,2024-05-02 13:23:21,77
3078,3,2024-05-03 13:23:21,59.2074113,17.761203,33,113,296,0,2024-05-03 13:23:21,78
3079,3,2024-05-04 13:23:21,59.3441419,18.0353285,53,98,131,0,2024-05-04 13:23:21,79
3080,3,2024-05-05 13:23:21,59.3529618,18.0658622,29,8,128,0,2024-05-05 13:23:21,80
3081,3,2024-05-06 13:23:21,59.2753526,17.9038507,64,42,298,0,2024-05-06 13:23:21,81
3082,3,2024-05-07 13:23:21,59.3345068,18.0126633,40,47,222,0,2024-05-07 13:23:21,82
3083,3,2024-05-08 13:23:21,59.2595014,18.1843998,41,91,204,0,2024-05-08 13:23:21,83
